Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
80,Kentavious Caldwell-Pope,SG,30,DEN,49,1587,10.2,.584,.485,.226,1.5,6.5,4.1,9.0,2.1,1.2,10.3,13.1,,1.2,1.6,2.8,.084,,-2.5,0.5,-2.0,0.0,caldwke01
81,Toumani Camara,PF,23,POR,49,1157,9.6,.514,.421,.243,8.2,14.6,11.2,5.7,2.2,1.8,14.5,13.9,,-0.2,1.1,0.9,.038,,-4.1,0.3,-3.8,-0.5,camarto01
82,Clint Capela,C,29,ATL,47,1209,20.8,.595,.000,.332,19.4,25.2,22.2,5.3,1.1,5.2,8.1,16.7,,3.0,1.1,4.2,.165,,1.2,-1.3,-0.1,0.6,capelca01
83,Jevon Carter,PG,28,CHI,48,657,7.9,.476,.642,.020,0.8,5.4,3.1,12.2,1.9,1.9,9.2,18.8,,-0.6,0.6,0.0,-0.003,,-3.7,-0.4,-4.2,-0.4,carteje01
84,Wendell Carter Jr.,C,24,ORL,24,625,15.3,.626,.362,.368,8.6,21.2,14.8,9.1,0.9,1.8,11.2,16.6,,1.0,0.9,1.9,.148,,0.4,0.2,0.6,0.4,cartewe01
85,Alex Caruso,SG,29,CHI,43,1147,14.7,.630,.607,.211,4.0,11.4,7.6,14.4,2.5,4.1,14.5,15.3,,1.4,1.5,2.9,.122,,0.2,2.1,2.3,1.2,carusal01
86,Colin Castleton,C,23,LAL,5,32,19.1,.743,.000,.444,14.4,16.7,15.6,13.4,0.0,0.0,8.5,15.8,,0.1,0.0,0.2,.239,,0.2,-1.9,-1.7,0.0,castlco01
87,Malcolm Cazalon,SG,22,DET,1,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.021,,-6.1,-3.1,-9.2,0.0,cazalma01
88,Julian Champagnie,SF,22,SAS,43,707,10.8,.573,.724,.207,3.0,12.5,7.7,8.4,1.7,3.1,11.9,14.9,,0.1,0.6,0.7,.048,,-1.8,-0.4,-2.1,0.0,champju02
89,Max Christie,SG,20,LAL,41,707,7.4,.538,.491,.189,1.5,14.9,8.5,7.6,1.0,1.6,14.1,13.4,,-0.3,0.6,0.3,.021,,-4.2,-0.4,-4.6,-0.5,chrisma02
90,Sidy Cissoko,SF,19,SAS,5,32,5.5,.387,.667,.667,0.0,20.5,10.1,0.0,4.4,0.0,11.4,11.5,,-0.1,0.0,0.0,-0.014,,-9.3,0.4,-8.9,-0.1,cissosi01
91,Jordan Clarkson,SG,31,UTA,41,1230,12.8,.523,.368,.253,3.5,9.0,6.3,24.4,0.9,0.4,14.1,27.0,,0.0,0.3,0.3,.013,,-1.2,-3.1,-4.3,-0.7,clarkjo01
92,Nic Claxton,C,24,BRK,38,1126,20.0,.638,.009,.326,10.7,27.7,19.0,9.6,1.2,6.6,10.9,15.6,,2.2,1.7,4.0,.168,,0.4,1.5,2.0,1.1,claxtni01
