,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,,-additional
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,-9999
178,Steve Foley,SDG,29,ROLB,16,16,2,4,0,4,12,5,0,2,0,0,10.0,65,48,17,10,,,FoleSt21
179,Aaron Kampman,GNB,25,LDE,16,16,0,0,0,0,3,1,0,1,3,0,4.5,68,48,20,8,,,KampAa99
180,Lemar Marshall,WAS,28,RLB,16,14,0,0,0,0,1,,,,,0,1.5,69,48,21,3,,,MarsLe20
181,Shaun Rogers*,DET,25,RDT,16,16,0,0,0,0,5,0,0,1,0,0,4.0,68,48,20,12,,,RogeSh99
182,Demorrio Williams,ATL,24,LB,16,1,,,0,,,,,,,0,2.5,56,48,8,6,,,WillDe22
183,Napoleon Harris,OAK,25,RLB,14,9,0,0,0,0,1,,,,,,0.0,61,47,14,4,,,HarrNa20
184,Greg Spires,TAM,30,LDE,16,16,0,0,0,0,3,3,0,2,0,0,8.0,61,47,14,9,,,SpirGr20
185,Deshea Townsend,PIT,29,RCB,15,15,4,54,1,39,11,1,0,1,0,0,4.0,56,47,9,3,,,TownDe20
186,Ahmad Carroll,GNB,21,LCB,14,11,1,0,0,0,8,0,0,1,40,1,2.0,49,46,3,5,,,CarrAh20
187,Chris Crocker,CLE,24,FS,12,5,1,20,1,20,4,,,,,0,2.0,56,46,10,3,,,CrocCh20
188,Tony Dixon,DAL,25,SS,16,7,0,0,0,0,4,2,0,0,0,0,3.0,51,46,5,3,,,DixoTo20
189,Quentin Harris,ARI,27,DB,16,4,1,-1,0,-1,1,1,0,1,0,0,1.0,56,46,10,1,,,HarrQu20
190,Aaron Schobel,BUF,27,RDE,16,16,0,0,0,0,4,5,0,3,0,0,8.0,73,46,27,9,,,SchoAa99
191,Donnie Spragan,DEN,28,LLB,16,14,0,0,0,0,6,1,0,1,0,0,1.0,68,46,22,4,,,SpraDo20
192,Fred Thomas,NOR,31,RCB,15,7,0,0,0,0,5,0,0,2,0,0,0.0,48,46,2,1,,,ThomFr20
193,Marcus Coleman,HOU,30,FS,12,12,2,116,1,102,9,,,,,0,0.0,56,45,11,0,,,ColeMa20
194,Shaunard Harts,KAN,26,FS,16,6,0,0,0,0,1,1,0,0,0,0,0.0,53,45,8,1,,,HartSh20
